Bitcoin Price (BTC),"$45,235.89"
Ethereum Price (ETH),"$3,287.05"
Cardano Price (ADA),$2.38
Tether Price (USDT),$1.00
Binance Coin Price (BNB),$399.70
XRP Price (XRP),$1.07
Solana Price (SOL),$164.30
Polkadot Price (DOT),$36.15
Dogecoin Price (DOGE),$0.2363
USD Coin Price (USDC),$1.00
Terra Price (LUNA),$36.62
Uniswap Price (UNI),$22.68
Binance USD Price (BUSD),$1.00
Avalanche Price (AVAX),$55.38
Chainlink Price (LINK),$26.94
Litecoin Price (LTC),$177.86
Bitcoin Cash Price (BCH),$616.13
Algorand Price (ALGO),$2.16
Wrapped Bitcoin Price (WBTC),"$45,252.58"
Internet Computer Price (ICP),$55.87
Filecoin Price (FIL),$78.41
Polygon Price (MATIC),$1.25
Cosmos Price (ATOM),$37.22
FTX Token Price (FTT),$66.77
TRON Price (TRX),$0.111
Stellar Price (XLM),$0.3186
VeChain Price (VET),$0.1132
Ethereum Classic Price (ETC),$55.85
Tezos Price (XTZ),$7.86
Dai Price (DAI),$1.00
THETA Price (THETA),$6.16
Elrond Price (EGLD),$265.29
Monero Price (XMR),$258.12
EOS Price (EOS),$4.80
Quant Price (QNT),$373.79
Crypto.com Coin Price (CRO),$0.1765
PancakeSwap Price (CAKE),$19.47
Aave Price (AAVE),$329.94
Hedera Hashgraph Price (HBAR),$0.4431
IOTA Price (MIOTA),$1.49
eCash Price (XEC),$0.0002124
Axie Infinity Price (AXS),$66.12
The Graph Price (GRT),$0.8485
NEAR Protocol Price (NEAR),$8.32
Bitcoin BEP2 Price (BTCB),"$45,243.92"
